,AP amp,AP amp adapt,AP amp CV,AP thresh,AP width,AHP,ISI adapt,ISI CV,R_i,Max number of APs,Tau,Rebound,Vm,Rheobase,Sag,UDR
20190122sample3,58.3289060741663,0.9272213091832772,-1.1804580108034683,-31.233940273523327,0.6799999999999029,-23.668132722377774,0.09163032284592315,-2.2071946822358766,169.70511574794853,64,10.617930518421952,2.4284765581149514,-66.81430505663154,112.91139240506328,1.0617658770372365,1.2231092491628788
20190122sample17,76.10583677887918,0.9156847751412158,-1.3527972034340268,-44.909030199050896,0.6000000000000033,-18.671482801437374,0.08547173080403778,-2.407953571258855,223.65054043009883,81,12.368699356336437,3.4956497927241803,-71.38031305819749,120.0,1.1250315284834054,1.1909215924950738
20190124sample4,75.73869451880455,0.9628455395958272,-1.313375503985137,-25.91259777545929,0.6800000000000139,-13.483308255672455,-0.06402185876493185,-2.29037777952333,177.6271686429779,78,7.7003632981251755,1.9454759093432232,-50.99792514666915,80.0,1.047178544258516,1.303444426803626
20190131sample1,84.6919361501932,0.8744975602515513,-1.631967069705398,-31.052285805344578,0.9600000000000164,-12.882290408015251,0.1094842328416902,-0.7723441714220224,310.08827503398066,16,21.13527703427427,4.618050107717657,-55.195822194963704,20.0,1.0623841776797192,2.1451990899583584
20190131sample4,71.1174625903368,0.918798426170366,-1.491456054122359,-23.517383262515068,0.8399999999999797,-11.36641390621662,0.2504861336920118,-1.3438459351041712,210.15097489953044,26,18.355956065290552,3.5691034267638884,-44.16583227962254,40.0,1.1494404742317292,1.6943390490456425
20190131sample10,78.96247506141663,0.9471654453022628,-2.246828740607814,-42.24063456058502,0.7600000000000107,-8.438315242528915,0.1869405026502495,-1.3251003367993852,209.6327057008942,37,11.884960172385796,4.823936076891833,-54.73219496011734,40.0,1.1316779391701763,1.7241892327173542
20190131sample3,56.75450526177883,0.9352957433340688,-1.2683304324512734,-31.72246739268303,0.4800000000000082,-21.20653912425041,-0.009029406719395386,-1.8853697602517,104.3655303965012,102,6.35593922781278,0.5120735434006889,-70.70279984325171,240.0,1.0371417831112335,1.0362343990645535
20190131sample6,76.86975970864295,0.962014442139331,-1.1546568997550533,-38.354586809873574,0.7999999999999952,-12.65648752450943,0.16172073868780282,-1.141190788917793,197.7908484091361,25,12.934393706701266,2.472569947724949,-64.40546000748873,80.0,1.0560136679948309,1.7176258880207471
20190131sample5,73.85206967592241,0.9664961657811474,-2.095120882803805,-29.008612036705017,0.6000000000000033,-16.92226529121399,0.18721154208814636,-2.665213171419174,243.85956190526488,87,11.103171492522586,1.4148822141078412,-40.36664288341999,40.0,1.0698774270291411,1.0705676861359652
20190110sample1,91.67829155921936,0.8963454654198306,-1.6979358497623924,-45.77238857746124,0.920000000000004,-7.0578232407569885,0.27958486221915985,-1.325348538296276,331.15370635688305,32,17.80301116272554,3.501160499006289,-68.27560205161572,40.0,1.0587785684586677,2.275996455433916
